timestamp,model_price,omie_price,price_error,price_setter,setter_mc_eur_mwh,price_gap_eur,es_load_MW,fr_import_MW,pt_import_MW,net_import_MW,vre_potential_MW,vre_actual_MW,vre_curtailment_MW,must_run_MW,residual_demand_MW,ccgt_mc_eur_mwh,fr_nuclear_MW,fr_hydro_MW,fr_wind_MW,fr_solar_MW,pt_hydro_MW,fr_price_EUR,pt_price_EUR,fr_es_price_spread,fr_load_MW,pt_load_MW,fr_surplus_MW,actual_fr_import_MW,actual_pt_import_MW,fr_import_error_MW,pt_import_error_MW,es_CCGT_flex_MW,es_CCGT_must_run_MW,es_OCGT_MW,es_biomass_MW,es_coal_MW,es_diesel_MW,es_load_shedding_MW,es_nuclear_MW,es_onwind_MW,es_ror_MW,es_solar_MW,es_PHS_MW,es_hydro_MW,es_CCGT_lo_MW,es_CCGT_mid_MW,es_CCGT_hi_MW,es_PHS_charge_MW,fr_CCGT_MW,fr_load_shedding_MW,fr_offwind_MW,fr_onwind_MW,pt_CCGT_MW,pt_load_shedding_MW,pt_offwind_MW,pt_onwind_MW,pt_solar_MW,hour,day_of_week,month,is_weekend,is_overnight,nodal_spread_EUR,nodal_max_EUR,nodal_min_EUR,nodal_max_bus,nodal_min_bus
2024-01-10 00:00:00,81.07423147639945,90.12,-9.045768523600556,CCGT,89.15751246377899,-8.083280987379538,22654.79273223877,-3690.0,2138.33056,-1551.66944,1648.5128975645014,1648.5128975645014,0.0,8526.400000000001,12479.879834674266,89.15751246377899,39910.0,14765.41,1433.53248,0.0,8346.5,99.94117397705722,81.39012286831257,-18.86694250065777,68932.1425,6323.6,-12823.200019999997,429.544,339.359,4119.544,-1798.97156,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,1648.512897564501,376.0306574836845,0.0,0.0,6404.45935077287,7254.562413245138,0.0,0.0,-0.0,9098.777540000005,0.0,94.42248,1433.53248,0.0,0,25,90.43056,0.0,0,2,1,False,True,3.907182722498362,83.3780833838269,79.47090066132854,ES1 0,ES0 43
2024-01-10 01:00:00,79.64318641947214,87.01,-7.366813580527861,CCGT,88.40021181331987,-8.757025393847726,21691.04888153076,-3690.0,2647.41711,-1042.58289,1862.5456628151735,1862.5456628151735,0.0,8526.400000000001,11302.103218715589,88.40021181331987,39910.0,14765.41,2092.513,0.0,8346.5,99.94117397705722,80.21994938874532,-20.29798755758507,68577.215,5821.0,-11809.291999999994,-75.576,302.959,3614.424,-2344.45811,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,1862.5456628151735,374.9212426822024,0.0,0.0,6402.475279901342,5576.8532771957625,0.0,0.0,-0.0,8042.236699999998,0.0,137.05530000000002,2092.513,0.0,0,25,96.91711,0.0,1,2,1,False,True,4.845330642223061,81.80071731339963,76.95538667117657,ES1 0,ES0 43
2024-01-10 02:00:00,79.64318641947222,85.8,-6.156813580527782,CCGT,88.40021181331987,-8.757025393847655,21229.34564971924,-3690.0,2963.354660000001,-726.6453399999991,2090.537098523659,2090.537098523659,0.0,8526.400000000001,10612.408551195578,88.40021181331987,39910.0,14765.41,2256.62868,0.0,8346.5,85.87491665925847,80.21994938874538,-6.231730239786259,67571.364,5526.3,-10639.325319999996,127.259,190.83,3817.259,-2772.524660000001,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,2090.537098523659,373.6804114299784,0.0,0.0,6126.855984480105,4847.669629179205,0.0,0.0,-0.0,6862.696960000001,0.0,146.62836,2256.62868,0.0,0,25,118.15466,0.0,2,2,1,False,True,4.845330642223061,81.80071731339963,76.95538667117657,ES1 0,ES0 43
2024-01-10 03:00:00,79.64318641947209,85.0,-5.356813580527913,CCGT,88.40021181331987,-8.757025393847783,21371.777183532715,-3690.0,3167.9252899999988,-522.0747100000012,2235.7869988009943,2235.7869988009943,0.0,8526.400000000001,10609.590184731718,88.40021181331987,39910.0,14765.41,2190.89459,0.0,8346.5,85.87491665925847,80.21994938874535,-6.231730239786387,67701.917,5354.6,-10835.612410000002,389.971,423.061,4079.971,-2744.8642899999986,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,2235.7869988009943,372.5101736404778,0.0,0.0,5884.215644398559,4883.967022564813,0.0,0.0,-0.0,7062.7003,0.0,142.91210999999998,2190.89459,0.0,0,25,151.02529,0.0,3,2,1,False,True,4.845330642222933,81.8007173133995,76.95538667117657,ES1 0,ES0 43
2024-01-10 04:00:00,79.64318641947222,86.3,-6.656813580527782,CCGT,88.40021181331987,-8.757025393847655,22257.99230194092,-3690.0,3224.93634,-465.0636599999998,2442.963447637513,2442.963447637513,0.0,8526.400000000001,11288.628854303402,88.40021181331987,39910.0,14765.41,1994.94012,0.0,8346.5,99.94117397705722,80.21994938874546,-20.297987557585003,70199.7255,5309.9,-13529.375379999998,-558.34,1249.662,3131.66,-1975.2743400000002,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,2442.9634476375127,371.3051990897824,0.0,0.0,5893.553470481604,5498.450107614888,0.0,0.0,-0.0,9768.325540000002,0.0,131.04984000000002,1994.94012,0.0,0,25,163.33634,0.0,4,2,1,False,True,4.845330642223047,81.80071731339962,76.95538667117657,ES1 0,ES0 43
2024-01-10 05:00:00,80.30523608123802,95.0,-14.69476391876198,CCGT,88.40021181331987,-8.09497573208185,25873.243293762207,-3690.0,3093.18902,-596.8109800000002,2624.2700655240956,2624.2700655240956,0.0,8526.400000000001,14722.57322823811,88.40021181331987,39910.0,14765.41,1917.09919,0.0,8346.5,99.94117397705722,80.11927807794056,-19.635937895819197,74150.65,5435.5,-17558.14080999999,-1073.784,2083.204,2616.216,-1009.9850199999996,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,2624.270065524095,370.64335274456226,0.0,0.0,6142.216236671345,8329.709327327708,471.7550375371979,0.0,-0.0,13803.066699999996,0.0,125.07411,1917.09919,0.0,0,25,157.18902,0.0,5,2,1,False,True,2.8983039600156246,82.78504831575307,79.88674435573745,ES1 0,ES0 24
2024-01-10 06:00:00,92.2403830281295,103.94,-11.699616971870498,CCGT,88.40021181331987,3.8401712148096294,30772.012382507324,-3649.718016765106,3035.1707760327627,-614.5472407323432,2855.102838599528,2855.102838599528,0.0,8526.400000000001,19390.509543907796,88.40021181331987,39910.0,14765.41,2223.33431,0.0,8346.5,117.40838765270225,81.62491955736677,-25.16800462457273,77569.8205,5903.9,-20671.07619,-1144.417,2889.13,2505.301016765106,-146.04077603276255,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,2855.102838599528,370.0954117730774,0.0,0.0,7062.388732375022,10634.501770186806,1926.070870305232,0.0,-0.0,16937.375783234897,0.0,143.98239,2223.33431,393.1070560327627,0,25,174.46372000000002,0.0,6,2,1,False,False,15.779244970300368,98.51336016600932,82.73411519570895,ES0 23,ES1 0
2024-01-10 07:00:00,105.59660325365928,121.4,-15.803396746340738,CCGT_flex,111.41104751058614,-5.814444256926876,33471.29306793213,-3637.9306303854287,3069.4786285066752,-568.4520018787534,2970.6025069079383,2970.6025069079383,0.0,8526.400000000001,21974.29056102419,88.40021181331987,39910.0,14765.41,3018.5887700000003,0.0,8346.5,5075.424355109467,81.63346843245212,-4969.827751855808,79895.692,6807.0,-22201.69322999999,-981.505,3095.738,2656.4256303854286,26.25937149332458,422.26675885214166,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,2970.602506907938,367.9457628936127,0.0,0.0,8659.929566331592,10658.19630805215,2423.8597212800573,0.0,-0.0,18281.874469614573,146.8890599999977,194.99907,3018.5887700000003,1267.0354785066756,0,25,237.94315,0.0,7,2,1,False,False,11.962394725781436,112.02578710957532,100.0633923837939,ES0 10,ES0 27
2024-01-10 08:00:00,94.99437406419476,121.4,-26.405625935805233,CCGT,88.40021181331987,6.594162250874902,34360.842514038086,-3486.033131964212,3087.310497585502,-398.7226343787097,5838.5875769623635,5838.5875769623635,0.0,8526.400000000001,19995.85493707572,88.40021181331987,39910.0,14765.41,3439.3558000000003,669.5032399999999,8346.5,103.68564039046208,81.6251939206672,-8.69126632626731,79104.7275,7759.999999999999,-20320.45845999999,-913.245,2702.71,2572.788131964212,-384.6004975855021,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,3194.3295991064556,366.9737853500254,2644.257977855908,0.0,7122.160292278554,10658.19630805215,2236.3054378844854,0.0,-0.0,16668.137485479303,0.0,221.72634,3439.3558000000003,2256.975527585502,0,25,187.70876,31.126209999999997,8,2,1,False,False,11.354109535042056,103.17942311567178,91.82531358062973,ES0 23,ES0 27
2024-01-10 09:00:00,81.988573559732,105.38,-23.391426440267992,CCGT,88.40021181331987,-6.411638253587867,35123.6416015625,-3615.006686929527,2999.6860702632716,-615.3206166662553,9870.090232033308,9870.090232033308,0.0,8526.400000000001,16727.15136952919,88.40021181331987,39910.0,14765.41,2829.08087,1384.70122,8346.5,103.68564039046208,81.62401460868556,-21.69706683073008,76996.544,8234.0,-18107.35190999999,-891.648,1906.465,2723.358686929527,-1093.2210702632717,0.0,1999.999999999999,0.0,600,0.0,0.0,0.0,5926.400000000001,3535.6871887551897,367.0185783772434,6334.403043278125,0.0,6619.769633224575,9562.879872071971,781.9896051164509,0.0,-0.0,14370.36789307047,0.0,181.97733,2829.08087,1434.4365002632717,0,25,171.46799,1256.2815799999998,9,2,1,False,False,3.5117310562901594,84.58964273960326,81.0779116833131,ES1 0,ES0 24
